"Date","Price","Open","High","Low","Vol.","Change %"
"08/29/2025","6,460.26","6,489.28","6,491.76","6,444.57","","-0.64%"
"08/28/2025","6,501.86","6,483.84","6,508.23","6,466.96","","0.32%"
"08/27/2025","6,481.40","6,462.26","6,487.06","6,457.84","","0.24%"
"08/26/2025","6,465.94","6,435.49","6,468.37","6,429.21","","0.41%"
"08/25/2025","6,439.32","6,457.67","6,466.89","6,438.06","","-0.43%"
"08/22/2025","6,466.91","6,384.59","6,478.89","6,384.59","","1.52%"
"08/21/2025","6,370.17","6,380.83","6,393.65","6,352.71","","-0.40%"
"08/20/2025","6,395.78","6,406.62","6,408.40","6,343.86","","-0.24%"
"08/19/2025","6,411.37","6,446.24","6,456.48","6,400.22","","-0.59%"
"08/18/2025","6,449.15","6,445.02","6,455.35","6,437.70","","-0.01%"
"08/15/2025","6,449.80","6,477.38","6,481.34","6,441.85","","-0.29%"
"08/14/2025","6,468.54","6,453.46","6,473.92","6,441.07","","0.03%"
"08/13/2025","6,466.58","6,462.67","6,480.28","6,445.02","","0.32%"
"08/12/2025","6,445.76","6,395.17","6,446.55","6,385.76","","1.13%"
"08/11/2025","6,373.45","6,389.67","6,407.25","6,364.06","","-0.25%"
"08/08/2025","6,389.45","6,355.22","6,395.16","6,355.22","","0.78%"
"08/07/2025","6,340.00","6,374.32","6,389.71","6,310.32","","-0.08%"
"08/06/2025","6,345.06","6,309.30","6,352.83","6,301.11","","0.73%"
"08/05/2025","6,299.19","6,336.63","6,346.00","6,289.37","","-0.49%"
"08/04/2025","6,329.94","6,271.71","6,330.69","6,271.71","","1.47%"
"08/01/2025","6,238.01","6,287.28","6,287.28","6,212.69","","-1.60%"
"07/31/2025","6,339.39","6,427.02","6,427.02","6,327.64","","-0.37%"
"07/30/2025","6,362.90","6,381.23","6,396.54","6,336.38","","-0.12%"
"07/29/2025","6,370.86","6,405.62","6,409.26","6,363.92","","-0.30%"
"07/28/2025","6,389.77","6,397.69","6,401.07","6,375.79","","0.02%"
