"Date","Price","Open","High","Low","Vol.","Change %"
"08/29/2025","232.14","232.51","233.38","231.37","39.42M","-0.18%"
"08/28/2025","232.56","230.82","233.41","229.34","38.07M","0.90%"
"08/27/2025","230.49","228.61","230.90","228.26","31.26M","0.51%"
"08/26/2025","229.31","226.87","229.49","224.69","54.58M","0.95%"
"08/25/2025","227.16","226.48","229.30","226.23","30.98M","-0.26%"
"08/22/2025","227.76","226.17","229.09","225.41","42.48M","1.27%"
"08/21/2025","224.90","226.27","226.52","223.78","30.62M","-0.49%"
"08/20/2025","226.01","229.98","230.47","225.77","42.26M","-1.97%"
"08/19/2025","230.56","231.27","232.87","229.35","39.40M","-0.14%"
"08/18/2025","230.89","231.70","233.12","230.11","37.48M","-0.30%"
"08/15/2025","231.59","234.00","234.28","229.34","56.04M","-0.51%"
"08/14/2025","232.78","234.05","235.12","230.85","51.92M","-0.24%"
"08/13/2025","233.33","231.07","235.00","230.43","69.88M","1.60%"
"08/12/2025","229.65","228.01","230.80","227.07","55.67M","1.09%"
"08/11/2025","227.18","227.92","229.56","224.76","61.81M","-0.95%"
"08/08/2025","229.35","220.83","231.00","219.25","113.85M","4.24%"
"08/07/2025","220.03","218.88","220.85","216.58","90.22M","3.18%"
"08/06/2025","213.25","205.63","215.38","205.59","108.48M","5.09%"
"08/05/2025","202.92","203.40","205.34","202.16","44.16M","-0.21%"
"08/04/2025","203.35","204.51","207.88","201.68","75.11M","0.48%"
"08/01/2025","202.38","210.87","213.58","201.50","104.43M","-2.50%"
"07/31/2025","207.57","208.49","209.84","207.16","80.70M","-0.71%"
"07/30/2025","209.05","211.90","212.39","207.72","45.51M","-1.05%"
"07/29/2025","211.27","214.18","214.81","210.82","51.41M","-1.30%"
"07/28/2025","214.05","214.03","214.85","213.06","37.86M","0.08%"
"07/25/2025","213.88","214.70","215.24","213.40","40.27M","0.06%"
"07/24/2025","213.76","213.90","215.69","213.53","46.02M","-0.18%"
"07/23/2025","214.15","215.00","215.15","212.41","46.99M","-0.12%"
"07/22/2025","214.40","213.14","214.95","212.23","46.40M","0.90%"
"07/21/2025","212.48","212.10","215.78","211.63","51.38M","0.62%"
"07/18/2025","211.18","210.87","211.79","209.70","48.97M","0.55%"
"07/17/2025","210.02","210.57","211.80","209.59","48.07M","-0.07%"
"07/16/2025","210.16","210.29","212.40","208.64","47.49M","0.50%"
"07/15/2025","209.11","209.22","211.89","208.92","42.30M","0.23%"
"07/14/2025","208.62","209.93","210.91","207.54","38.84M","-1.20%"
"07/11/2025","211.16","210.57","212.13","209.86","39.77M","-0.59%"
"07/10/2025","212.41","210.51","213.48","210.03","44.44M","0.60%"
"07/09/2025","211.14","209.53","211.33","207.22","48.75M","0.54%"
"07/08/2025","210.01","210.10","211.43","208.45","42.85M","0.03%"
"07/07/2025","209.95","212.68","216.23","208.80","50.23M","-1.69%"
"07/03/2025","213.55","212.15","214.65","211.81","34.96M","0.52%"
"07/02/2025","212.44","208.91","213.34","208.14","67.94M","2.22%"
"07/01/2025","207.82","206.66","210.19","206.14","78.79M","1.29%"
"06/30/2025","205.17","202.01","207.39","199.26","91.91M","2.03%"
"06/27/2025","201.08","201.89","203.22","200.00","73.19M","0.04%"
"06/26/2025","201.00","201.43","202.64","199.46","50.80M","-0.28%"
"06/25/2025","201.56","201.45","203.67","200.62","39.53M","0.63%"
"06/24/2025","200.30","202.59","203.44","200.20","54.06M","-0.60%"
"06/23/2025","201.50","201.63","202.30","198.96","55.81M","0.25%"
"06/20/2025","201.00","198.24","201.70","196.85","96.81M","2.25%"
"06/18/2025","196.58","195.94","197.57","195.07","45.39M","0.48%"
